,index,job_title,company_name,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Stata,Machine Learning,Data Mining/Analytics,NLP,Visualisation,Big Data,AWS Cloud,Probability,Support Vector Machines,Neural Networks,GCP,Jason,xml,Azure,Google Cloud,Mathematics,IBM,Algebra,Statistics,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,Team building,project_management,leadership,consulting
529,https://ca.linkedin.com/jobs/view/data-scientist-at-nugget-ai-2268466326?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,nugget.ai,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
530,https://ca.linkedin.com/jobs/view/data-scientist-at-exactearth-ltd-2017091855?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,exactEarth Ltd,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
531,https://ca.linkedin.com/jobs/view/data-scientist-at-bravado-2241570459?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Bravado,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
532,https://ca.linkedin.com/jobs/view/data-scientist-at-wish-2176603367?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Wish,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
533,https://ca.linkedin.com/jobs/view/data-scientist-at-points-2215785918?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Points,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
534,https://ca.linkedin.com/jobs/view/data-scientist-engineer-at-lotusflare-2294814743?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist / Engineer,LotusFlare,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
535,https://ca.linkedin.com/jobs/view/data-scientist-at-zesty-ai-2268542082?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Zesty.ai,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
536,https://ca.linkedin.com/jobs/view/data-scientist-it-analytics-at-the-home-depot-canada-1979102144?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist - IT Analytics,The Home Depot Canada,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
537,https://ca.linkedin.com/jobs/view/data-scientist-at-bus-2297948592?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,BUS,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
538,https://ca.linkedin.com/jobs/view/data-scientist-at-suncor-2225862615?refId=b3569572-977b-4808-94c6-0c6c76d9c198&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Suncor,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
